Object ID	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	Area 	Parent Object ID (MO)	Parent Trace ID
772	2536	169.06667	15	1013	-1
773	2900	161.11111	18	1013	-1
774	3029	159.42105	19	1013	-1
775	10958	219.16	50	1013	-1
776	2181	167.76923	13	1013	-1
777	9954	155.53125	64	1014	-1
778	2029	156.07692	13	1015	-1
779	12517	164.69737	76	1015	-1
780	30478	181.41667	168	1018	-1
781	2081	160.07692	13	1020	-1
782	3273.9998	155.90475	21	1020	-1
783	1848	154	12	1020	-1
784	3871	161.29167	24	1020	-1
785	1589	158.89999	10	1020	-1
786	2267	174.38461	13	1023	-1
787	2241	172.38461	13	1024	-1
788	2642	203.23077	13	1030	-1
789	27900	306.59341	91	1030	-1
790	70545	538.51147	131	1033	-1
791	2525	210.41667	12	1034	-1
792	44753	410.57797	109	1034	-1
793	6165	268.04349	23	1034	-1
794	17882	162.56363	110	1035	-1
795	7355	216.32353	34	1035	-1
796	8599	156.34546	55	1038	-1
797	5684	210.51852	27	1039	-1
798	68379	343.61307	199	1040	-1
799	1926	192.60001	10	1042	-1
800	2874	221.07692	13	1042	-1
801	29755.998	313.22104	95	1050	-1
802	28051	369.0921	76	1050	-1
803	3820	201.05263	19	1050	-1
