Object ID	Total Intensity telo 550	Mean Intensity telo 550	Area 	Center X 	Center Y 	Parent Object ID (MO)	Parent Trace ID
560	8969	109.37805	82	330.5	590.5	457	-1
561	5769	99.465515	58	317.5	594.5	457	-1
562	36390	375.15463	97	1542	606	458	-1
563	1005	100.5	10	1665	607	459	-1
564	1009.0001	67.26667	15	2.5	626	460	-1
565	10085	176.92982	57	1861	609	461	-1
566	11797	199.94916	59	1849	620	461	-1
567	13108.999	145.65555	90	1256	643.5	462	-1
568	7809	251.90323	31	1278.5	643	462	-1
569	921	83.727272	11	1264	651	462	-1
570	2920.9998	67.930229	43	90	645.5	463	-1
571	3306	114	29	157	615.5	464	-1
572	4852	83.655174	58	148	623	464	-1
573	8167.9995	131.74193	62	153.5	648.5	464	-1
574	9924	190.84616	52	1354	624.5	465	-1
575	1020	68	15	665	631.5	466	-1
576	12256	131.78494	93	1543.5	655	467	-1
577	1184	78.933334	15	1530.5	655.5	467	-1
